ID#,q0,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39_1,q39_2,q39_3,q39_4,q39_5,q39_6,q39_7,q39_8,q39_9,q40_1,q40_2,q40_3,q40_4,q40_5,q40_6,q40_7,q40_8,q40_9,q41,q42,q43,q44,q45,q46,q47_1,q47_2,q47_3,q47_4,q47_5,q47_6,q47_7,q47_8,q47_9,q47_10,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q49_1,q49_2,q49_3,q49_4,q49_5,q49_6,q49_7,q49_8,q49_9,q49_10,q49_11,q49_12,q49_13,q49_14,q49_15,q49_16,q49_17,q49_18,q50_1,q50_2,q50_3,q50_4,q50_5,q50_6,q50_7,q50_8,q50_9,q50_10,q50_11,q50_12,q51,q52,q53,q54,q55,q56_1,q56_2,q56_3,q56_4,q56_5,q56_6,q56_7,q56_8,q56_9,q56_10,q56_11,q57,q58,q59,q60,q61,q62,q63,q64,q65,q66,q69,q2001,q2002,Q701,Q702,Q703,Q704,Q705,Q706,Q903,Q914,Q980,Q981,Q915,Q999,Q919,Q921,Q1002,Q1003,Q934,Q1004,Q1005,Q922,RespNo,Q1001,Q1006,,WT,WT2,wt3
2008-0011,Jordan,4,1,1,1,1,4,8,5,5,4,2,5,4,6,3,5,1,2,3,2,3,3,4,5,5,1,2,,1,,,,,1,,,,1,,,1,,,,,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,,,,,1,,,5,2,5,2,3,3,2,4,4,1,6,,,24,1,1,2,2,2,3,2,,,4,1,2,3,2,6,1,,1,2,349,,,,1.00,0.27,0.27
2008-0012,Jordan,1,1,1,1,1,8,9,5,5,5,4,5,5,5,2,4,1,1,4,4,3,3,5,5,5,2,2,,,,1,,,1,,,,,1,,1,,,,,3,1,1,1,1,1,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,,,,,1,,,5,2,3,2,3,3,1,4,4,1,2,,,31,1,1,2,2,2,4,1,2,2,,2,1,4,2,6,1,,1,2,325,,,,1.00,0.27,0.27
2008-0013,Jordan,5,1,1,1,1,4,8,4,5,5,2,5,5,6,3,5,1,1,3,3,3,3,8,5,5,1,2,,1,,,,,1,,,,1,1,,,,,,,3,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,,,,,1,,,5,2,5,4,3,3,2,4,4,1,6,,,50,1,2,2,2,2,2,1,5,5,,2,2,5,2,6,2,,1,2,337,,,,1.00,0.27,0.27
2008-0014,Jordan,5,1,1,1,1,9,8,6,5,4,4,5,5,5,3,2,1,1,3,3,3,4,2,5,8,2,2,1,,,,,,1,,,,,1,,,,1,,,3,1,1,2,2,1,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,5,4,,,,,,,1,,1,,,2,2,4,3,3,4,3,2,2,2,1,,,21,1,1,2,2,2,3,2,,,3,1,1,3,2,5,2,,1,1,7,,,,1.00,0.27,0.27
2008-0015,Jordan,3,1,1,1,1,4,8,6,5,5,1,5,5,5,3,4,1,1,2,3,3,3,4,8,1,2,2,,,,1,,,1,,,,,1,,,,1,,,3,2,1,2,2,1,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,5,5,,,,1,,,,,1,,,2,2,4,3,3,4,3,5,2,2,1,,,23,1,1,2,2,2,3,2,,,5,2,1,3,1,,1,,1,1,19,,,,1.00,0.27,0.27
2008-0016,Jordan,5,1,1,1,1,4,8,5,5,5,2,5,5,6,3,5,1,1,3,2,2,3,3,5,1,2,2,,,,1,,,1,,,,,1,,,,,,1,3,2,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,5,5,,,,,,,1,,1,,,2,2,4,3,3,4,3,2,2,1,1,,,62,1,2,2,2,2,2,1,5,1,,1,2,3,2,7,2,,1,1,33,,,,1.00,0.27,0.27
2008-0017,Jordan,1,1,1,1,1,8,4,5,5,5,3,5,5,5,1,4,1,1,4,3,2,3,4,4,6,2,2,1,,,,,,1,,,1,,1,,,,,,,3,4,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,3,5,,,,,1,,,,1,,,5,3,4,2,4,4,2,4,5,2,1,,,36,1,1,2,2,2,4,1,3,3,,1,1,3,1,,1,,1,1,46,,,,1.00,0.27,0.27
2008-0018,Jordan,5,1,1,1,1,8,4,5,5,5,4,6,5,5,2,5,1,1,3,3,3,3,7,4,6,2,2,1,,,,,,1,,,1,,1,,,,,,,3,4,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,2,3,,,,,1,,,,1,,,5,3,4,2,4,4,2,4,5,2,1,,,60,1,2,2,2,2,1,1,5,2,,3,1,3,2,7,2,,1,1,49,,,,1.00,0.27,0.27
2008-0019,Jordan,5,1,1,1,1,8,9,5,5,4,5,5,4,5,2,3,1,1,3,3,2,3,8,5,5,2,2,,,,1,,,1,,,,,1,,1,,,,,3,2,2,1,1,1,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,1,2,1,,,,1,,,,,1,,,5,2,3,2,3,3,1,4,4,1,4,,,60,1,2,2,2,2,2,1,3,1,,1,2,3,2,6,2,,1,2,319,,,,1.00,0.27,0.27
2008-0020,Jordan,1,1,1,1,1,8,4,4,5,5,3,5,4,5,1,6,1,1,3,2,3,3,8,1,5,2,2,,,,1,,,1,,,,,1,,1,,,,,4,2,2,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,1,,,,,,,,,,2,1,1,2,5,,,,1,,,,,1,,,5,2,4,2,3,3,1,4,4,1,4,,,22,1,1,2,2,2,3,2,,,5,2,2,3,1,,1,,1,2,320,,,,1.00,0.27,0.27
2008-0021,Jordan,5,1,1,1,1,8,9,5,5,5,4,5,4,5,2,3,1,1,3,3,3,3,4,8,8,2,2,,,,1,,,1,,,,1,1,,,,,,,3,1,1,1,1,1,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,2,,,,1,,,,,1,,,5,2,3,2,3,3,1,4,4,1,6,,,18,1,1,2,2,2,2,2,,,4,1,2,3,2,5,2,,1,2,323,,,,1.00,0.27,0.27
2008-0022,Jordan,1,1,1,1,1,4,9,4,5,5,1,5,5,5,5,4,1,1,3,3,3,3,8,5,6,1,2,,1,,,,,1,,,,1,,,1,,,,,2,1,1,1,1,3,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,,,,,1,,,5,2,5,2,3,3,2,4,4,1,2,,,26,1,1,2,2,2,6,1,6,,1,2,2,3,2,6,1,,1,2,348,,,,1.00,0.27,0.27
2008-0023,Jordan,1,1,1,1,1,8,4,5,5,5,2,5,4,5,2,6,1,1,3,2,3,3,3,4,6,2,2,,1,,,,,1,,,1,,,,1,,,,,3,1,1,1,1,3,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,1,,,,,,,1,2,3,2,3,3,2,4,4,1,2,,,24,1,1,2,2,2,3,2,,,5,2,2,3,1,,1,,1,2,382,,,,1.00,0.27,0.27
2008-0024,Jordan,1,4,1,1,1,9,4,5,5,5,4,5,5,5,4,1,1,1,4,2,3,3,4,6,1,1,2,1,,,,,,1,,,,,1,,,,1,,,3,1,1,2,3,1,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,5,5,,,,1,,,,,1,,,2,2,4,3,3,3,3,2,2,2,1,,,19,1,1,2,2,2,3,2,,,5,2,1,5,2,5,1,,1,2,569,,,,1.00,0.27,0.27
2008-0025,Jordan,5,1,1,1,1,9,4,5,5,5,4,5,5,5,4,1,1,1,3,3,3,3,8,6,1,1,2,1,,,,,,1,,,,,1,,,,1,,,3,1,1,2,2,1,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,5,3,,,,1,,,,,1,,,2,2,4,3,3,3,3,2,2,2,4,,,52,1,2,2,2,2,2,1,4,4,,2,2,3,2,6,2,,1,2,584,,,,1.00,0.27,0.27
2008-0026,Jordan,3,1,1,1,1,4,8,5,5,5,1,5,5,5,3,5,1,1,3,2,3,3,7,5,1,2,2,,,,1,,,1,,,,,1,,,,1,,,3,2,1,2,2,1,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,5,4,,,,1,,,,,1,,,2,2,4,3,3,4,3,2,2,2,4,,,35,1,1,2,2,2,6,1,2,2,,2,1,3,1,,1,,1,1,28,,,,1.00,0.27,0.27
2008-0027,Jordan,5,1,1,1,1,8,4,5,5,5,3,5,4,5,1,5,1,1,3,2,3,3,4,5,6,1,2,,1,,,,,1,,,1,,,,1,,,,,3,1,1,1,1,3,,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,,,,,1,,,5,2,5,2,3,3,2,4,4,1,2,,,20,1,1,2,2,2,3,2,,,2,1,1,4,2,6,2,,1,2,345,,,,1.00,0.27,0.27
2008-0028,Jordan,5,1,1,1,1,8,4,5,5,5,2,5,5,5,1,6,1,1,3,3,3,2,5,4,6,2,2,,1,,,,,1,,,1,,,,1,,,,,3,1,1,1,1,4,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,1,,,,,,,5,2,5,2,3,3,2,4,4,1,2,,,61,1,2,2,2,2,2,1,5,5,,1,2,3,2,7,2,,1,2,378,,,,1.00,0.27,0.27
2008-0029,Jordan,1,1,1,1,1,8,9,4,5,5,5,5,5,5,1,4,1,1,3,3,2,3,8,1,6,2,2,1,,,,,,1,,,,1,1,,,,,,,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,3,5,,,,,1,,,,1,,,5,3,4,2,4,4,2,4,5,2,1,,,25,1,1,2,2,2,4,2,,,3,1,2,3,1,,1,,1,1,44,,,,1.00,0.27,0.27
2008-0030,Jordan,1,1,1,1,1,8,4,5,5,4,4,5,4,5,2,5,1,1,3,2,3,2,5,8,6,2,2,1,,,,,,1,,,1,,1,,,,,,,3,4,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,3,5,,,,,1,,,,1,,,5,3,4,4,4,4,2,4,5,2,4,,,31,1,1,2,2,2,4,1,1,1,,2,1,3,1,,1,,1,1,55,,,,1.00,0.27,0.27
2008-0031,Jordan,1,1,1,1,1,8,4,5,5,4,2,4,4,5,2,5,1,1,2,3,3,3,2,4,6,2,2,,1,,,,,1,,,1,,,,1,,,,,3,4,2,1,1,3,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,3,,,,1,1,,,,,,,5,2,1,2,3,3,2,4,4,1,2,,,53,1,1,2,2,2,3,1,4,4,,1,1,4,2,6,1,,2,2,371,,,,1.00,0.27,0.27
2008-0032,Jordan,1,2,1,1,1,9,8,5,5,5,4,5,4,5,3,1,1,1,1,3,2,3,4,5,1,2,2,1,,,,,,1,,,,,1,,,,1,,,3,1,1,2,2,1,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,5,5,,,,1,,,,,1,,,2,2,4,3,3,4,3,2,2,2,1,,,35,1,1,2,2,2,4,1,3,3,,2,1,4,2,6,1,,1,2,592,,,,1.00,0.27,0.27
2008-0033,Jordan,1,1,1,1,1,8,4,5,5,5,4,5,4,5,1,5,1,3,3,3,3,3,8,4,8,2,2,1,,,,,,1,,,1,,1,,,,,,,3,4,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,1,1,1,2,2,,,,,,,1,,1,,,5,3,4,2,4,4,2,4,5,2,1,,,43,1,1,2,2,2,3,1,4,4,,2,1,3,1,,1,,1,1,59,,,,1.00,0.27,0.27
2008-0034,Jordan,1,1,1,1,1,4,9,5,5,5,2,5,5,6,4,4,1,4,1,4,2,3,5,5,6,1,2,,1,,,,,1,,,,1,,,1,,,,,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,,,,,1,,,5,2,5,2,3,3,2,4,4,1,6,,,36,1,1,2,2,2,4,1,4,4,,2,2,3,2,6,1,,1,2,343,,,,1.00,0.27,0.27
2008-0035,Jordan,1,1,1,1,1,8,4,5,5,5,3,5,4,5,1,5,1,1,3,3,3,3,8,5,8,2,2,,1,,,,,1,,,1,,,,1,,,,,3,4,4,1,1,3,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,5,2,5,,,,1,,,,,1,,,5,2,5,2,3,3,2,4,4,1,2,,,25,1,1,2,2,2,4,2,,,3,2,1,4,1,,1,,1,2,361,,,,1.00,0.27,0.27
2008-0036,Jordan,1,3,1,1,1,4,7,6,5,5,2,5,5,4,4,4,1,4,4,4,3,3,3,5,1,1,2,,1,,1,,,,,,1,,,,,,1,,,3,2,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,5,,,,1,1,,,,,,,3,2,4,3,3,4,3,2,2,1,1,,,27,2,1,2,2,2,4,1,1,1,,1,1,4,1,,1,,1,1,58,,,,1.00,0.27,0.27
2008-0037,Jordan,1,1,1,1,1,4,8,6,5,5,2,5,5,5,3,5,1,2,3,3,3,3,2,6,1,1,2,,,1,1,,,,,,,1,1,,,,,,,3,1,1,1,1,3,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,1,,1,1,1,2,5,,,,1,1,,,,,,,2,3,2,4,1,1,2,3,4,3,1,,,26,1,1,2,2,2,4,1,6,,,1,2,3,2,6,1,,1,2,540,,,,1.00,0.27,0.27
2008-0038,Jordan,1,1,3,1,1,4,8,5,6,5,1,5,3,4,4,5,1,1,3,3,2,3,8,6,6,1,2,,,1,1,,,,,,,1,1,,,,,,,3,1,1,2,1,3,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,5,,,,1,1,,,,,,,2,3,2,2,1,1,2,3,4,3,1,,,45,1,1,2,2,2,3,1,4,4,,1,1,5,2,6,1,,1,2,551,,,,1.00,0.27,0.27
2008-0039,Jordan,1,1,3,1,1,4,8,5,5,5,1,5,5,4,3,4,1,1,3,3,2,3,3,6,6,3,2,,,1,1,,,,,,1,,1,,,,,,,3,1,1,2,1,4,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,1,1,1,2,5,,,,1,1,,,,,,,2,3,2,2,1,1,2,3,4,3,1,,,41,1,1,2,2,2,3,1,3,3,,2,1,4,2,6,1,,1,2,556,,,,1.00,0.27,0.27
2008-0040,Jordan,1,1,3,1,1,4,8,6,5,5,1,5,5,4,4,4,1,1,3,4,2,3,4,8,6,3,2,,,1,1,,,,,,1,,1,,,,,,,3,1,1,2,1,3,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,1,1,1,2,7,,,,1,1,,,,,,,2,3,2,2,1,1,2,5,4,3,1,,,20,1,1,2,2,2,3,2,,,3,1,2,3,2,5,1,,1,2,561,,,,1.00,0.27,0.27
2008-0041,Jordan,1,1,1,1,1,4,8,5,5,5,1,5,5,4,3,5,1,1,3,4,3,3,5,6,1,2,2,,,1,1,,,,,,,1,1,,,,,,,3,1,1,2,1,3,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,1,,1,1,1,2,2,,,,1,1,,,,,,,2,3,2,2,1,1,2,3,4,3,1,,,35,1,1,2,2,2,4,1,5,5,,1,1,6,1,,1,,1,2,548,,,,1.00,0.27,0.27
2008-0042,Jordan,1,1,1,1,1,9,8,5,5,5,5,5,5,5,3,2,1,2,3,3,3,3,8,4,6,1,2,1,1,,,,,,,,,,1,,1,,,,,3,1,1,1,1,2,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,3,5,1,5,,,,1,1,,,,,,,2,3,4,3,3,4,4,4,2,4,2,,,24,1,1,2,2,2,3,2,,,5,1,2,3,1,,1,,1,1,169,,,,1.00,0.27,0.27
2008-0043,Jordan,1,1,1,1,1,9,8,5,5,5,4,5,5,5,3,1,1,1,3,3,3,3,3,4,8,1,2,,1,,,1,,,,,,,1,,,,1,,,3,1,1,3,1,2,,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,3,5,1,3,,,,1,1,,,,,,,2,3,4,6,3,4,4,4,2,4,2,,,41,1,1,2,2,2,3,1,2,2,,1,1,4,1,,1,,1,1,157,,,,1.00,0.27,0.27
2008-0044,Jordan,1,1,1,1,1,9,4,5,5,5,3,5,5,5,4,1,1,1,3,3,2,2,3,4,1,2,2,1,,,,1,,,,,,,1,,,,,,1,3,1,1,3,4,2,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,3,5,1,5,,,,1,1,,,,,,,2,3,1,3,3,4,4,4,2,4,2,,,37,1,1,1,2,2,4,1,3,3,,1,2,3,1,,1,,1,1,162,,,,1.00,0.27,0.27
2008-0045,Jordan,4,1,1,1,1,9,4,5,5,4,4,5,5,5,5,1,1,1,3,3,2,3,5,5,1,1,2,1,,,1,,,,,,,,1,,,,1,,,4,1,1,3,4,2,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,1,,1,3,5,1,3,,,,1,1,,,,,,,2,3,3,3,3,3,4,4,2,4,4,,,31,1,1,2,2,2,4,1,2,2,,2,1,3,1,,1,,1,1,153,,,,1.00,0.27,0.27
2008-0046,Jordan,4,1,1,1,1,9,8,5,5,5,4,5,5,5,4,1,1,1,3,4,3,3,3,8,6,1,2,1,1,,,,,,,,,1,,,1,,,,,3,1,1,1,1,2,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,3,5,1,5,,,,1,1,,,,,,,2,2,4,3,3,4,4,4,2,4,2,,,42,1,1,2,2,2,3,1,5,5,,1,2,3,1,,1,,1,1,173,,,,1.00,0.27,0.27
