ID#,q0,q999,q1000,q1001,q1002,q1003,q1004,q1005,q10000,q701,q702,q703,q704,q705,q706,q706b_2,q706b_3,q7060,q707,q934,q708,q921,q922,q601,q903,q54,q55,q56,q57,q58,q59,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118a,q118b,q120,q121,q122,q123,q124a,q124b,q125a,q125b,q126,q127,q128,q129,q130,q131,q132,q133,wt,wt2,wt3
2005-0021,United Arab Emirates,6,,,,,,1,1,25,1,1,2,2,2,,,,3,1,1,2,1,1.00,1.00,1,1,4,7,4,6,6,1,3,3,1,4,6,,,,,,5,,,,,,,,,,,,8,,,,,,,3,2,3,1,2,6,3,3,5,4,4,1,3,4,5,5,1,1,1,5,5,5,2,1,3,3,2,1,3,3,2,3,3,1,2,22,,14,2,2,3,1,6,3,1,3.22,0.17,0.54
2005-0022,United Arab Emirates,6,,,,,,2,1,36,1,1,2,2,2,,,,4,1,1,3,2,2.00,2.00,1,1,4,8,4,4,4,1,5,5,1,1,4,,,,,,3,,,,,,2,,,,,,6,,,,,,2,1,2,2,1,2,3,2,3,3,6,6,1,2,5,5,5,1,1,1,5,2,5,2,1,2,2,2,1,2,2,2,1,1,1,2,9,12,17,2,2,1,2,3,2,1,0.41,0.17,0.07
2005-0023,United Arab Emirates,6,,,,,,1,1,32,1,1,2,2,2,,,,4,2,1,1,1,2.00,2.00,1,1,4,7,5,5,5,1,4,6,2,3,4,,,,,,5,,,,,,,,,,,,3,,,,,,5,1,2,2,2,3,3,2,4,8,4,4,1,2,5,5,3,2,2,3,5,3,2,2,1,2,2,2,9,,2,2,3,3,2,1,1,11,20,2,1,2,3,2,6,6,0.73,0.17,0.12
2005-0024,United Arab Emirates,6,,,,,,2,2,54,1,1,2,2,2,,,,3,1,1,4,1,2.00,1.00,1,1,4,8,2,3,2,1,4,5,1,1,2,,,,,,3,,,,,,4,,,,,,6,,,,,,8,1,3,3,1,3,2,2,2,8,8,6,1,2,5,3,4,3,3,4,2,3,2,2,1,3,3,2,1,3,3,2,1,2,2,1,12,9,22,2,1,1,1,5,3,1,1.73,0.17,0.29
2005-0025,United Arab Emirates,6,,,,,,1,1,22,1,1,2,2,2,,,,4,1,1,4,2,1.00,2.00,1,1,4,8,3,4,4,1,3,4,4,1,2,,,,,,2,,,,,,1,,,,,,2,,,,,,5,1,2,2,2,3,4,4,2,4,6,6,1,2,1,5,4,3,1,4,5,2,5,2,1,2,2,2,3,4,3,2,1,1,1,2,1,21,29,2,2,1,2,3,3,5,1.34,0.17,0.22
2005-0026,United Arab Emirates,6,,,,,,1,1,26,1,1,2,2,2,,,,3,2,1,1,1,1.00,1.00,1,1,4,7,6,6,5,1,5,5,2,4,4,,,,,,5,,,,,,,,,,,,5,,,,,,4,2,2,2,1,3,3,3,4,4,4,4,3,2,4,5,4,4,3,2,5,3,1,3,1,3,2,2,9,,2,5,3,3,1,2,1,21,29,2,2,4,1,6,6,6,3.22,0.17,0.54
2005-0027,United Arab Emirates,6,,,,,,1,1,22,1,1,2,2,2,,,,4,1,1,4,1,1.00,2.00,1,1,4,8,3,4,1,2,1,1,4,2,1,,,,,,2,,,,,,1,,,,,,2,,,,,,5,1,2,2,2,3,3,4,1,8,6,6,1,2,1,5,4,3,1,4,5,2,5,2,1,2,2,2,3,4,3,2,1,1,1,2,1,21,29,2,2,1,2,3,3,5,1.34,0.17,0.22
2005-0028,United Arab Emirates,6,,,,,,1,1,50,1,2,2,2,2,,,,2,2,1,1,1,2.00,1.00,1,1,4,8,5,6,6,1,5,6,4,2,5,,,,,,5,,,,,,,,,,,,3,,,,,,6,3,2,3,2,4,4,3,4,8,4,4,2,2,4,5,3,1,3,2,2,3,1,3,1,2,3,3,9,,3,5,2,3,2,1,1,30,30,2,2,5,1,6,6,3,1.75,0.17,0.29
2005-0029,United Arab Emirates,6,,,,,,1,1,30,1,1,2,2,1,,,6,4,1,1,2,1,2.00,2.00,1,1,4,8,5,6,5,1,6,6,4,1,4,,,,,,3,,,,,,2,,,,,,6,,,,,,3,2,3,2,1,4,4,4,4,8,4,4,2,2,4,5,4,2,3,3,2,4,1,3,3,3,3,4,2,4,4,5,3,3,2,1,21,1,35,2,2,5,1,5,6,6,0.73,0.17,0.12
2005-0030,United Arab Emirates,6,,,,,,1,2,31,1,1,2,2,2,,,,4,1,1,2,1,2.00,2.00,1,1,4,1,1,5,5,2,5,5,5,4,4,,,,,,3,,,,,,2,,,,,,6,,,,,,5,1,3,3,2,2,4,3,3,8,8,5,1,2,4,5,5,1,2,2,5,1,5,2,1,3,3,2,2,3,3,6,3,2,1,2,21,1,36,2,2,2,2,6,3,3,1.30,0.17,0.22
2005-0031,United Arab Emirates,6,,,,,,1,1,34,1,1,2,2,2,,,,4,1,1,2,1,2.00,2.00,1,1,4,8,2,6,6,1,6,6,6,4,6,,,,,,2,,,,,,1,,,,,,4,,,,,,5,2,3,3,2,2,4,3,3,8,4,4,1,2,5,5,5,1,1,1,5,5,5,2,1,1,1,2,1,2,3,2,1,2,1,2,1,21,40,2,2,1,2,1,3,3,0.73,0.17,0.12
2005-0032,United Arab Emirates,6,,,,,,1,1,34,1,1,1,2,2,,,,3,1,1,2,1,2.00,1.00,1,1,2,4,2,1,5,3,4,5,1,6,6,,,,,,5,,,,,,,,,,,,8,,,,,,,3,3,3,2,2,6,4,3,3,4,4,1,2,5,5,5,1,1,1,5,5,5,2,1,4,3,2,1,3,3,7,3,2,1,2,1,4,43,2,3,1,1,3,6,3,1.75,0.17,0.29
2005-0033,United Arab Emirates,6,,,,,,1,2,30,1,1,2,2,2,,,,4,1,1,4,2,2.00,2.00,1,1,4,8,5,5,5,4,5,5,5,4,5,,,,,,5,,,,,,,,,,,,6,,,,,,4,2,3,3,1,3,4,3,2,5,5,5,1,3,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,3,2,6,2,2,1,2,1,23,101,2,2,1,1,3,2,1,1.30,0.17,0.22
2005-0034,United Arab Emirates,6,,,,,,1,1,25,1,1,2,2,2,,,,4,1,1,2,2,1.00,2.00,1,1,4,1,1,5,5,2,5,5,5,4,4,,,,,,3,,,,,,2,,,,,,6,,,,,,5,1,3,3,2,2,4,3,3,8,8,5,1,2,4,5,5,1,2,2,5,1,5,2,1,3,3,2,2,3,3,6,3,2,2,1,1,21,101,101,2,2,2,6,3,3,1.34,0.17,0.22
2005-0035,United Arab Emirates,6,,,,,,1,2,25,1,1,2,2,2,,,,4,1,2,3,2,1.00,2.00,1,1,4,1,4,5,5,4,3,5,5,4,5,,,,,,3,,,,,,1,,,,,,6,,,,,,2,4,3,3,1,3,4,3,2,4,4,1,1,2,1,1,1,5,5,5,1,5,3,2,1,2,2,2,2,5,3,6,2,2,3,16,9,4,2,1,1,1,1,4,3,1,0.45,0.17,0.07
2005-0036,United Arab Emirates,6,,,,,,2,2,32,2,2,2,2,1,,,6,2,2,1,2,1,2.00,1.00,1,1,10,4,2,5,4,1,4,5,1,2,5,,,,,,5,,,,,,,,,,,,8,,,,,,,1,2,2,2,2,4,3,3,7,7,7,2,2,5,5,5,1,1,1,5,2,5,2,1,3,3,2,1,5,3,6,2,2,3,15,22,,20,1,3,3,3,2,4,4,1.73,0.17,0.29
2005-0037,United Arab Emirates,6,,,,,,1,2,35,1,1,2,2,2,,,,4,1,2,4,2,2.00,2.00,1,1,1,2,3,1,5,1,1,5,2,1,1,,,,,,1,,,,,,2,,,,,,3,,,,,,4,1,2,2,1,1,1,1,1,1,1,4,1,1,5,5,3,5,5,5,5,5,2,2,1,1,2,2,2,5,1,2,2,2,4,3,21,1,21,7,1,1,1,2,2,6,0.24,0.17,0.04
2005-0038,United Arab Emirates,6,,,,,,1,1,30,1,1,2,2,2,,,,4,1,1,2,1,2.00,2.00,1,1,8,11,3,2,6,4,3,2,2,2,1,,,,,,2,,,,,,1,,,,,,2,,,,,,5,1,3,2,2,3,4,4,1,3,6,6,1,2,4,5,4,3,4,1,4,2,5,2,1,2,2,2,3,4,3,2,1,1,19,5,1,30,30,2,1,1,3,6,3,5,0.73,0.17,0.12
2005-0039,United Arab Emirates,6,,,,,,1,2,30,1,1,2,2,2,,,,4,1,2,3,1,2.00,2.00,1,1,8,5,6,6,6,6,6,6,6,6,6,,,,,,5,,,,,,,,,,,,8,,,,,,,3,3,3,1,3,2,4,4,5,5,5,1,1,6,4,4,3,3,3,2,2,1,2,4,4,3,2,1,2,1,7,3,3,2,,1,26,101,11,1,1,1,4,5,6,0.24,0.17,0.04
2005-0040,United Arab Emirates,6,,,,,,3,1,101,1,1,2,2,2,,,,3,1,1,2,2,2.00,1.00,1,1,4,8,6,5,5,1,6,6,6,1,6,,,,,,2,,,,,,1,,,,,,6,,,,,,3,2,3,2,1,4,4,4,4,8,4,4,1,1,4,5,4,2,3,3,4,2,2,3,3,3,4,4,2,4,4,6,3,3,101,,101,,14,101,2,1,5,6,6,6,0.79,0.17,0.13
2005-0041,United Arab Emirates,6,,,,,,3,1,35,1,1,2,2,2,,,,4,1,1,3,2,2.00,2.00,1,1,11,,6,6,6,6,3,6,2,6,6,,,,,,5,,,,,,,,,,,,8,,,,,,,4,3,1,1,1,2,2,2,3,6,6,3,1,3,4,2,2,2,2,3,6,3,2,3,3,4,2,2,3,1,5,2,3,101,,101,,22,101,1,1,1,2,3,6,0.33,0.17,0.05
2005-0042,United Arab Emirates,6,,,,,,3,2,60,1,1,2,2,2,,,,2,2,2,4,1,2.00,1.00,1,1,3,2,6,6,6,6,6,6,6,6,6,,,,,,4,,,,,,5,,,,,,9,,,,,,,1,3,3,1,4,6,4,4,8,8,5,1,3,6,6,6,6,6,6,6,6,6,4,4,4,4,4,9,,4,7,3,3,101,,101,,101,101,2,1,2,1,2,6,0.26,0.17,0.04
2005-0043,United Arab Emirates,6,,,,,,2,2,26,2,2,1,2,2,,,,4,1,1,3,2,1.00,2.00,1,1,4,11,5,5,5,1,4,5,6,2,5,,,,,,5,,,,,,,,,,,,1,,,,,,2,2,2,2,1,3,3,3,3,5,4,4,2,2,5,5,5,2,2,2,5,1,3,2,1,3,2,2,1,3,2,3,1,2,101,,101,,101,101,1,2,2,3,4,1,1.33,0.17,0.22
2005-0044,United Arab Emirates,6,,,,,,1,2,26,1,1,2,2,2,,,,4,1,2,3,1,1.00,2.00,1,1,2,1,4,3,5,5,5,5,5,5,5,,,,,,5,,,,,,,,,,,,6,,,,,,4,4,3,3,1,1,3,2,3,4,4,5,2,1,1,5,5,2,2,3,5,4,2,2,1,2,2,4,3,,3,7,3,3,10,6,9,7,101,101,1,1,5,4,2,5,0.45,0.17,0.07
2005-0045,United Arab Emirates,6,,,,,,3,1,25,1,1,2,2,2,,,,4,1,1,3,1,1.00,2.00,1,1,7,4,3,4,5,1,4,4,1,1,4,,,,,,1,,,,,,3,,,,,,2,,,,,,5,3,3,3,4,4,3,3,2,4,1,1,1,2,4,5,4,4,4,3,2,2,4,3,1,3,3,3,1,5,2,2,2,2,3,1,6,10,101,101,2,1,2,3,2,5,0.61,0.17,0.10
2005-0046,United Arab Emirates,6,,,,,,3,1,30,1,1,2,2,2,,,,4,1,1,3,1,2.00,2.00,1,1,4,6,3,4,5,1,3,1,2,3,4,,,,,,1,,,,,,4,,,,,,5,,,,,,6,2,3,1,3,3,3,2,2,7,4,1,1,3,4,5,4,2,1,2,5,3,4,3,1,3,3,4,2,4,4,2,1,3,5,1,14,2,101,2,1,2,1,2,4,1,0.33,0.17,0.05
2005-0047,United Arab Emirates,6,,,,,,3,2,35,1,2,2,2,2,,,,6,2,1,2,1,2.00,2.00,1,1,4,8,5,5,3,1,5,4,5,1,1,,,,,,1,,,,,,2,,,,,,8,,,,,,,1,3,2,2,2,4,3,2,7,8,7,2,2,6,5,5,2,1,1,4,1,5,2,1,2,2,1,1,4,3,5,1,2,5,1,6,3,8,9,3,3,3,2,2,6,0.58,0.17,0.10
2005-0048,United Arab Emirates,6,,,,,,2,1,24,1,1,2,2,2,,,,5,1,1,3,1,1.00,2.00,1,1,4,8,4,6,6,1,6,6,4,1,4,,,,,,5,,,,,,,,,,,,6,,,,,,5,1,2,2,2,2,2,2,2,3,1,1,1,1,5,5,5,4,5,5,3,5,5,2,1,2,2,2,2,4,1,2,3,3,1,5,6,2,12,14,1,4,3,2,2,3,0.75,0.17,0.12
2005-0049,United Arab Emirates,6,,,,,,2,1,35,2,2,2,2,1,,,6,4,1,1,4,1,2.00,2.00,1,1,4,8,5,5,3,1,5,5,1,1,5,,,,,,5,,,,,,,,,,,,8,,,,,,,1,3,3,2,2,4,3,3,8,7,7,2,1,5,5,5,1,1,1,5,1,5,2,1,3,2,2,1,5,3,5,2,2,2,3,6,3,12,1,3,3,3,2,4,4,0.41,0.17,0.07
2005-0050,United Arab Emirates,6,,,,,,3,2,28,1,1,2,2,2,,,,4,1,1,2,1,1.00,2.00,1,1,4,8,1,5,5,1,4,3,2,1,5,,,,,,1,,,,,,3,,,,,,6,,,,,,5,2,2,3,4,4,2,2,3,3,6,1,1,2,5,5,5,1,1,2,4,2,5,2,3,3,2,4,1,3,3,2,1,2,2,3,2,6,101,1,1,1,1,2,2,1,1.08,0.17,0.18
2005-0051,United Arab Emirates,6,,,,,,2,1,26,2,1,1,2,1,,,6,5,1,1,5,1,1.00,2.00,1,1,4,7,4,5,5,1,5,5,1,1,4,,,,,,5,,,,,,,,,,,,1,,,,,,2,4,2,2,1,2,3,3,3,4,4,4,1,2,4,5,4,2,2,2,5,1,3,1,1,3,2,2,1,5,3,2,2,2,3,2,2,10,2,2,1,1,1,2,3,1,0.75,0.17,0.12
2005-0052,United Arab Emirates,6,,,,,,2,1,23,1,1,2,2,2,,,,3,1,1,3,2,1.00,1.00,1,1,7,8,4,3,5,2,4,5,1,1,5,,,,,,5,,,,,,,,,,,,1,,,,,,2,1,2,2,1,3,2,2,1,1,1,1,1,1,4,5,3,4,4,4,3,5,2,2,1,3,1,1,4,5,1,3,2,2,2,3,6,2,2,2,2,1,1,2,1,6,1.79,0.17,0.30
2005-0053,United Arab Emirates,6,,,,,,2,1,44,1,1,2,2,1,,,6,3,1,1,4,1,2.00,1.00,1,1,4,8,4,5,5,1,5,5,1,1,4,,,,,,5,,,,,,,,,,,,8,,,,,,,1,1,1,2,2,3,3,3,7,1,1,1,2,5,5,5,2,2,2,5,2,5,2,1,3,2,2,1,2,3,2,1,2,2,3,6,3,19,2,2,1,2,3,3,3,0.97,0.17,0.16
2005-0054,United Arab Emirates,6,,,,,,2,1,34,1,1,2,2,2,,,,4,1,1,4,1,2.00,2.00,1,1,4,7,3,5,4,1,5,5,1,1,4,,,,,,4,,,,,,5,,,,,,6,,,,,,4,2,1,1,1,3,2,2,2,5,1,1,1,2,5,5,5,3,3,4,5,2,3,2,1,3,2,2,1,3,3,5,2,2,2,3,6,3,22,2,2,1,1,2,2,6,0.41,0.17,0.07
2005-0055,United Arab Emirates,6,,,,,,2,1,43,1,1,2,2,1,,,6,4,1,1,4,2,2.00,2.00,1,1,1,7,1,4,3,1,5,5,1,2,5,,,,,,5,,,,,,,,,,,,1,,,,,,6,2,1,1,1,3,2,1,1,1,1,6,1,1,4,5,4,4,4,4,2,5,2,2,1,2,1,1,2,4,2,3,2,2,2,3,6,3,24,2,2,1,1,3,2,6,0.41,0.17,0.07
2005-0056,United Arab Emirates,6,,,,,,2,1,26,1,1,2,2,2,,,,3,1,1,7,1,1.00,1.00,1,1,2,9,3,1,5,4,5,5,4,3,1,,,,,,3,,,,,,2,,,,,,6,,,,,,5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,2,5,1,2,1,1,1,1,2,5,1,3,2,2,2,3,6,2,6,12,3,1,1,5,1,6,1.79,0.17,0.30
2005-0057,United Arab Emirates,6,,,,,,3,1,33,1,1,2,2,2,,,,3,1,1,2,1,2.00,1.00,1,1,4,2,6,3,6,2,6,6,6,6,6,,,,,,5,,,,,,,,,,,,3,,,,,,8,2,2,1,1,3,2,2,3,8,1,1,1,2,4,4,3,3,1,2,4,2,4,2,3,1,4,3,1,5,4,7,3,3,3,2,2,3,17,12,1,4,1,2,3,6,0.79,0.17,0.13
2005-0058,United Arab Emirates,6,,,,,,1,2,31,1,1,2,2,2,,,,4,1,2,3,1,2.00,2.00,1,1,4,8,5,5,5,3,1,5,1,6,5,,,,,,5,,,,,,,,,,,,9,,,,,,,4,3,3,1,2,1,2,3,8,1,5,1,1,3,5,4,3,3,2,5,2,3,3,1,3,3,1,2,4,3,7,2,3,2,3,2,14,101,18,1,1,1,4,2,6,0.24,0.17,0.04
2005-0059,United Arab Emirates,6,,,,,,3,1,55,1,1,2,2,2,,,,3,2,1,3,1,2.00,1.00,1,1,10,8,6,6,6,6,6,6,1,2,6,,,,,,5,,,,,,,,,,,,8,,,,,,,2,3,3,1,1,2,2,3,6,6,6,3,1,4,5,3,2,2,3,4,3,6,2,1,3,4,1,2,5,3,5,2,2,3,2,6,3,2,101,1,1,1,3,2,6,0.79,0.17,0.13
2005-0060,United Arab Emirates,6,,,,,,1,2,36,2,1,2,2,1,,,11,4,1,2,2,1,2.00,2.00,1,1,4,5,5,5,5,4,3,5,5,5,5,,,,,,3,,,,,,4,,,,,,6,,,,,,4,5,3,3,1,3,2,2,3,4,5,1,1,2,3,5,3,3,2,3,4,3,3,2,1,2,2,2,2,3,1,3,1,2,2,1,2,14,2,1,1,1,1,6,2,6,0.24,0.17,0.04
2005-0061,United Arab Emirates,6,,,,,,2,1,32,1,1,2,2,1,,,11,4,1,1,4,1,2.00,2.00,1,1,4,8,4,5,5,1,5,5,1,1,2,,,,,,4,,,,,,3,,,,,,6,,,,,,2,1,2,2,1,3,3,2,3,3,5,5,1,2,5,5,5,1,1,1,5,3,5,2,1,3,3,2,1,4,2,2,1,2,2,1,14,3,5,1,2,1,1,2,3,5,0.41,0.17,0.07
2005-0062,United Arab Emirates,6,,,,,,2,1,36,1,1,2,2,1,,,6,4,1,1,3,1,2.00,2.00,1,1,4,7,3,5,5,1,4,5,1,2,3,,,,,,1,,,,,,3,,,,,,4,,,,,,6,2,2,2,1,2,2,2,2,3,1,1,1,2,4,5,5,2,1,1,5,2,5,2,3,3,3,2,1,2,3,4,1,2,2,1,14,3,5,1,2,1,1,2,3,1,0.41,0.17,0.07
