ID#,q0,q1000,q117,q118,q119,q120,q121,q122,q123,q124,q125,q51,q52,q53,q54,q55,q56,q57,q58,q59,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,st105_1,st105_2,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,wt,wt2,wt3
2004-0015,Lebanon,6,54,2,2,99,1,2,2,2,1,2,2,2,2,4,2,3,4,4,1,4,1,4,4,4,4,4,4,7,5,99,1,2,1,3,3,3,4,6,3,4,3,1,3,99,5,5,5,5,5,5,5,5,1,2,1,3,3,3,1,3,2,12,3,18,99,10,2,1,1,2,5,4,4,4,4,2,0.73,0.26,0.19
2004-0016,Lebanon,6,53,1,1,2,3,1,2,3,1,1,1,2,2,4,2,3,4,4,1,4,1,4,4,4,1,4,1,3,1,2,1,2,1,2,2,1,2,5,3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,2,1,1,3,2,1,1,2,12,3,18,99,10,2,1,1,2,3,2,1,1,1,2,0.73,0.26,0.19
2004-0017,Lebanon,3,52,1,1,2,4,2,2,3,2,1,1,2,4,1,4,2,1,3,4,4,3,4,4,4,4,4,7,99,2,3,2,2,2,2,2,1,2,3,2,3,2,1,2,3,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,1,1,3,7,2,1,1,5,1,2,3,2,2,2,2,0.73,0.26,0.19
2004-0018,Lebanon,6,52,1,1,2,2,2,2,3,2,1,1,2,4,2,4,3,8,3,1,5,1,5,5,5,1,3,7,99,2,1,2,3,1,2,2,2,4,5,3,3,4,1,2,2,5,5,5,1,1,2,5,2,3,2,1,1,4,3,3,1,1,12,6,18,99,10,2,1,1,5,2,3,2,2,1,2,0.73,0.26,0.19
2004-0019,Lebanon,6,52,2,1,2,2,2,2,4,2,1,1,2,4,8,2,3,4,2,1,2,1,3,4,2,1,1,1,3,1,3,2,2,1,2,2,4,4,6,3,3,3,1,3,99,5,5,5,5,5,5,5,5,5,2,3,3,3,2,1,1,2,2,3,11,13,4,2,1,1,2,1,3,1,1,1,2,0.73,0.26,0.19
2004-0020,Lebanon,5,51,1,1,2,2,2,2,3,2,1,1,1,2,4,2,2,11,5,1,4,1,4,4,3,2,4,6,99,99,99,1,3,3,3,3,1,2,4,2,3,3,1,3,99,5,5,5,1,1,1,5,5,1,2,1,2,3,2,3,1,2,12,3,3,11,10,2,1,1,2,4,4,4,4,4,2,0.73,0.26,0.19
2004-0021,Lebanon,3,51,1,1,2,3,2,2,4,1,1,1,2,4,8,4,3,8,4,4,4,2,4,4,4,3,4,4,7,2,3,2,2,2,2,2,1,2,3,2,3,1,1,3,99,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,1,1,7,15,2,1,1,1,5,5,2,2,2,2,2,0.73,0.26,0.19
2004-0022,Lebanon,1,51,1,1,2,4,2,2,4,1,1,1,1,2,8,2,2,11,3,1,4,4,2,4,3,3,4,7,99,6,99,1,1,2,2,3,2,2,4,2,3,3,3,2,2,4,4,3,3,5,3,4,3,4,3,2,2,2,3,4,2,2,2,1,15,17,4,3,2,1,4,3,4,4,4,4,2,0.73,0.26,0.19
2004-0023,Lebanon,1,51,1,1,1,4,2,2,5,1,2,2,2,3,11,3,2,2,4,3,1,4,4,3,4,4,2,6,99,99,99,1,2,3,1,1,3,2,3,2,2,1,2,3,99,3,5,4,3,4,5,5,4,3,1,3,3,2,2,5,2,2,10,3,3,15,10,2,3,1,5,3,4,1,2,2,2,0.73,0.26,0.19
2004-0024,Lebanon,6,51,1,1,2,2,2,2,3,1,1,1,2,4,8,4,3,2,4,1,4,1,3,4,4,1,5,4,1,1,2,1,2,1,2,2,3,4,6,2,3,1,1,3,99,5,5,5,2,2,2,5,5,2,2,1,3,3,2,1,1,2,2,3,12,13,2,2,1,1,5,1,2,1,1,1,3,0.73,0.26,0.19
2004-0025,Lebanon,5,49,1,1,2,3,2,2,4,2,3,1,2,2,4,2,2,4,5,1,5,1,3,5,4,4,4,6,99,99,99,1,3,3,3,3,1,1,5,3,3,3,1,3,99,5,5,5,1,1,1,5,5,1,2,1,2,2,2,8,4,4,2,3,3,11,2,2,1,1,2,4,2,4,4,4,2,0.73,0.26,0.19
2004-0026,Lebanon,6,49,1,1,1,3,2,2,3,1,1,1,2,4,2,4,3,2,4,1,4,1,4,4,3,3,4,6,99,99,99,1,2,1,3,3,3,3,6,2,3,3,1,2,1,5,5,5,5,5,5,5,5,5,2,1,2,3,2,1,1,2,2,3,3,12,4,2,1,1,2,5,3,2,2,2,2,0.73,0.26,0.19
2004-0027,Lebanon,6,49,1,1,2,3,2,2,4,2,1,1,2,2,8,4,3,2,3,1,4,1,4,4,4,1,3,1,2,2,1,1,2,1,2,2,1,4,2,3,2,4,2,2,1,5,5,5,1,3,2,5,5,2,2,1,4,3,3,1,1,1,7,3,11,12,2,2,1,1,2,2,3,1,2,2,2,0.73,0.26,0.19
2004-0028,Lebanon,6,49,1,1,2,3,2,2,3,2,1,1,2,4,2,4,2,2,3,1,4,1,4,4,4,1,3,4,1,2,1,1,2,1,3,3,4,3,6,3,3,4,2,2,2,5,5,5,5,5,5,5,5,5,2,1,3,4,2,1,2,1,2,3,12,13,2,2,1,1,5,5,3,2,2,2,1,0.73,0.26,0.19
2004-0029,Lebanon,1,48,2,2,99,2,2,2,2,1,1,1,2,4,2,2,2,4,3,2,4,3,3,4,3,3,3,8,99,6,99,1,2,3,2,2,3,2,3,2,3,3,3,2,3,5,4,5,5,3,4,5,5,4,2,2,3,2,2,4,2,2,10,3,18,99,10,2,1,1,4,4,3,2,3,3,2,0.73,0.26,0.19
2004-0030,Lebanon,2,48,1,1,1,4,1,2,4,1,1,1,2,2,30,2,6,4,4,1,4,3,4,4,4,4,3,3,4,3,2,2,2,1,2,3,1,1,3,2,2,1,4,2,2,6,6,6,6,6,6,6,6,6,2,4,2,2,3,2,3,1,42,3,3,7,2,1,1,1,4,1,3,2,2,1,2,0.73,0.26,0.19
2004-0031,Lebanon,2,48,1,1,1,4,1,2,4,1,1,1,2,2,30,2,2,4,4,1,4,3,4,4,4,4,3,3,4,3,2,2,2,1,2,3,1,2,2,2,2,1,4,2,2,4,5,5,4,4,4,5,3,4,2,3,3,3,3,2,3,4,42,3,3,7,2,1,1,1,2,1,2,2,2,1,2,0.73,0.26,0.19
2004-0032,Lebanon,3,47,1,1,2,4,1,2,4,2,2,2,3,2,11,2,6,11,4,3,4,4,4,4,4,4,4,3,4,2,3,2,2,2,2,2,2,2,3,2,2,2,1,3,99,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,1,3,3,7,2,3,1,1,6,3,3,2,2,2,2,0.73,0.26,0.19
2004-0033,Lebanon,1,47,1,2,99,3,2,2,3,1,2,2,2,2,30,3,2,2,4,1,2,4,4,3,4,4,4,3,2,5,99,1,2,3,2,2,3,3,3,2,3,3,3,2,2,4,5,4,3,4,3,5,5,4,2,3,2,3,3,4,2,2,12,3,18,99,10,2,1,1,2,3,4,2,2,2,2,0.73,0.26,0.19
2004-0034,Lebanon,2,47,1,1,2,3,2,2,4,2,1,1,2,2,9,2,7,4,4,1,4,3,4,4,4,4,2,3,4,3,1,2,2,1,2,3,1,1,2,2,2,1,3,3,99,4,5,5,3,3,3,5,4,3,2,3,2,2,2,2,3,4,12,3,15,3,4,1,1,1,4,1,2,2,2,1,2,0.73,0.26,0.19
2004-0035,Lebanon,2,47,1,1,1,2,2,2,6,2,1,1,2,4,2,4,4,2,4,1,2,1,4,4,4,2,3,6,99,99,99,2,2,1,2,2,2,3,3,2,2,1,1,3,99,4,5,5,1,1,1,5,5,5,2,1,2,2,2,2,1,1,2,1,26,10,1,1,1,1,2,5,4,4,4,4,2,0.73,0.26,0.19
2004-0036,Lebanon,6,47,1,1,2,3,1,2,4,1,1,1,1,7,2,2,3,8,4,1,4,1,4,4,1,1,4,6,99,99,99,1,2,1,2,2,2,4,2,3,3,1,1,2,2,5,5,5,1,2,3,5,5,2,2,1,3,3,2,1,1,2,12,3,18,99,10,2,1,1,2,5,3,3,3,3,2,0.73,0.26,0.19
2004-0037,Lebanon,5,46,1,1,1,4,1,2,4,2,1,1,2,2,4,2,2,4,2,1,4,1,2,2,1,1,2,3,4,1,2,1,2,1,3,3,2,3,6,2,3,3,1,3,99,5,5,5,1,1,4,5,5,5,2,1,3,3,3,3,1,2,3,3,3,11,2,2,1,1,5,1,2,2,2,1,2,0.73,0.26,0.19
2004-0038,Lebanon,5,46,1,1,2,3,1,2,3,2,1,1,2,4,2,4,2,2,4,1,4,1,4,4,4,4,4,7,99,2,3,1,2,2,2,2,2,1,3,2,3,1,1,2,3,5,5,5,5,5,5,5,5,5,2,1,2,2,2,4,1,2,7,3,3,15,10,2,4,1,5,2,2,2,2,2,1,0.73,0.26,0.19
2004-0039,Lebanon,1,46,1,1,1,4,1,2,4,1,1,1,2,2,4,2,1,11,3,1,4,3,4,4,3,2,4,7,99,5,99,1,2,3,2,2,2,3,2,2,1,1,5,2,2,4,4,4,5,5,5,3,5,4,1,2,2,2,3,4,3,1,42,3,12,17,1,2,1,1,2,3,3,2,2,1,3,0.73,0.26,0.19
2004-0040,Lebanon,1,46,1,1,2,4,2,2,2,1,1,1,3,2,4,3,1,10,2,1,2,2,3,3,2,3,3,1,7,5,99,2,2,3,2,2,3,2,4,2,2,3,4,2,2,4,5,3,4,5,4,5,2,4,2,2,3,2,3,4,2,2,2,3,3,10,4,1,1,1,2,3,4,2,3,2,1,0.73,0.26,0.19
2004-0041,Lebanon,6,46,1,1,2,2,2,2,3,2,1,1,2,4,2,4,5,2,5,1,5,1,4,4,4,5,3,6,99,99,99,1,2,3,3,3,3,4,4,3,3,3,1,2,1,5,5,5,5,5,5,5,5,5,2,1,3,3,1,3,3,2,2,3,3,12,4,2,1,1,2,1,3,1,1,1,2,0.73,0.26,0.19
2004-0042,Lebanon,6,46,2,1,2,3,2,2,3,2,1,1,2,2,4,2,3,8,4,1,4,1,4,5,4,1,4,4,3,1,3,1,2,2,2,2,1,2,3,2,3,3,2,1,1,5,5,5,1,1,2,5,5,5,2,1,3,3,1,3,1,1,2,3,3,12,2,2,1,1,5,2,2,2,2,2,2,0.73,0.26,0.19
2004-0043,Lebanon,5,45,2,1,2,2,2,2,3,1,1,1,2,4,2,4,4,2,5,1,5,1,5,3,2,1,4,6,99,99,99,1,3,3,3,3,2,3,4,2,2,3,1,3,99,5,5,5,1,1,1,5,5,1,2,1,2,3,2,3,1,2,2,3,3,6,2,2,1,5,6,1,3,4,4,4,2,0.73,0.26,0.19
2004-0044,Lebanon,5,45,1,1,1,3,1,2,4,1,1,1,2,8,4,4,3,2,4,1,4,1,4,4,4,1,4,4,3,2,1,1,3,3,3,3,1,1,1,2,2,3,1,2,1,5,5,5,1,1,1,5,5,3,2,1,2,2,2,4,1,2,2,3,3,11,4,2,1,1,2,3,4,3,3,2,2,0.73,0.26,0.19
2004-0045,Lebanon,5,44,1,1,2,3,2,2,3,2,1,1,2,2,4,4,3,2,5,1,5,1,3,4,4,1,4,6,99,99,99,1,3,3,3,3,1,2,4,3,3,3,1,2,1,4,5,5,1,1,1,5,5,1,2,1,2,3,2,3,1,2,2,3,3,11,4,2,1,1,5,1,3,4,4,2,2,0.73,0.26,0.19
2004-0046,Lebanon,5,44,1,2,99,2,2,2,3,1,1,1,3,2,8,8,4,2,4,1,2,4,4,4,4,2,4,3,15,3,5,2,2,1,2,1,1,2,2,2,2,2,4,2,3,4,5,5,3,1,2,5,1,5,2,1,2,2,2,2,3,2,13,3,6,7,10,2,1,1,6,2,1,3,3,3,2,0.73,0.26,0.19
2004-0047,Lebanon,3,44,1,1,2,3,2,2,3,1,1,1,2,4,8,4,2,8,4,4,4,2,4,4,4,2,4,6,99,99,99,2,2,2,2,2,1,2,3,2,3,3,1,1,2,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,2,2,1,7,4,2,1,1,5,5,3,2,2,2,2,0.73,0.26,0.19
2004-0048,Lebanon,6,44,1,1,2,3,2,2,4,2,1,1,1,8,4,2,3,4,3,1,5,1,4,5,3,1,4,6,99,99,99,1,2,1,3,3,2,3,2,2,3,4,3,2,2,5,5,5,1,1,1,5,4,1,2,1,3,3,2,1,1,2,12,6,18,99,10,2,1,1,2,1,2,2,3,1,2,0.73,0.26,0.19
2004-0049,Lebanon,3,43,1,1,1,3,2,2,3,1,1,2,3,2,11,2,6,11,4,3,4,4,4,4,4,4,4,3,4,2,3,2,2,2,2,3,1,2,2,2,3,3,1,2,2,5,5,5,5,5,5,5,5,5,2,1,2,2,2,1,1,3,1,3,3,7,2,2,1,1,5,2,3,2,2,2,2,0.73,0.26,0.19
2004-0050,Lebanon,1,43,1,1,2,4,1,2,3,1,1,1,3,4,8,2,1,4,2,1,3,2,2,3,3,2,3,8,99,5,99,2,2,1,2,2,2,2,3,1,2,2,1,2,2,4,5,4,5,5,4,5,3,5,2,2,3,2,2,3,2,2,12,3,18,99,2,2,4,2,1,4,4,3,3,3,1,0.73,0.26,0.19
2004-0051,Lebanon,2,43,1,2,99,2,2,2,3,2,1,1,2,4,8,4,1,8,4,4,4,1,3,3,3,1,3,1,6,2,3,1,2,1,2,2,2,2,3,2,2,1,1,2,2,5,5,5,5,1,1,1,5,5,2,1,2,2,2,3,1,1,2,1,3,7,2,2,2,2,1,3,3,2,2,2,2,0.73,0.26,0.19
2004-0052,Lebanon,6,43,1,1,2,3,2,2,2,2,1,1,1,2,4,4,3,2,2,1,2,1,3,4,5,1,1,6,99,99,99,1,2,1,3,3,3,2,6,3,3,3,5,3,99,5,5,5,5,5,5,5,5,2,2,1,2,2,2,1,3,2,2,3,7,11,4,2,1,1,2,1,2,1,1,1,2,0.73,0.26,0.19
2004-0053,Lebanon,3,42,1,1,2,4,1,2,4,2,1,1,2,1,8,1,2,8,2,4,4,3,4,4,4,4,4,7,99,2,3,2,2,2,2,2,1,2,3,2,3,1,1,2,3,5,5,5,5,5,5,5,5,5,2,1,2,3,3,2,1,3,2,3,6,15,4,1,1,5,6,2,3,2,2,2,2,0.73,0.26,0.19
2004-0054,Lebanon,1,42,1,1,2,4,2,2,3,1,2,2,5,2,3,3,3,11,4,2,2,4,4,3,4,4,4,7,99,5,99,2,2,2,3,1,3,3,3,1,2,4,4,2,2,4,4,5,4,5,3,4,5,4,2,1,3,2,2,4,2,2,12,3,18,99,10,3,4,1,4,4,3,2,2,2,2,0.73,0.26,0.19
2004-0055,Lebanon,1,42,1,2,99,3,2,2,2,2,1,1,3,2,4,2,2,4,2,1,4,1,3,4,4,2,3,7,99,6,99,1,1,2,3,2,2,2,4,2,3,3,4,2,2,3,4,5,4,3,3,4,4,5,2,3,2,1,2,4,2,2,12,3,17,15,10,1,1,1,6,3,4,3,2,3,2,0.73,0.26,0.19
2004-0056,Lebanon,6,42,1,1,2,2,2,2,2,1,1,1,2,4,2,4,3,2,2,1,2,1,2,5,3,4,4,6,99,99,99,1,3,1,3,3,2,2,3,3,3,3,1,2,1,5,5,5,1,1,1,5,5,1,2,1,3,3,3,1,2,3,3,3,3,7,4,2,1,1,2,5,3,2,2,2,2,0.73,0.26,0.19
2004-0057,Lebanon,6,42,1,1,1,3,2,2,3,2,1,1,2,2,8,4,3,2,5,1,3,1,4,4,1,1,3,4,1,2,3,1,2,1,2,2,3,4,1,2,3,4,1,3,99,5,5,5,2,1,4,6,4,2,2,1,3,3,2,3,3,2,12,3,18,99,10,2,1,1,2,1,3,2,2,1,2,0.73,0.26,0.19
2004-0058,Lebanon,3,41,1,2,99,3,2,2,2,2,2,1,3,4,11,4,3,11,4,4,4,3,4,4,4,4,4,7,99,2,1,1,2,2,2,2,1,2,3,2,3,1,1,2,3,5,5,5,5,5,5,5,5,5,2,1,2,2,2,4,1,3,1,1,3,7,4,2,1,1,5,2,3,3,3,3,2,0.73,0.26,0.19
2004-0059,Lebanon,3,41,1,1,1,3,2,2,3,2,1,1,2,4,8,4,2,8,4,4,4,3,4,4,4,3,4,4,3,2,3,2,2,2,2,2,1,2,3,2,3,2,1,2,2,4,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,1,3,3,15,4,1,1,5,6,2,3,2,2,2,2,0.73,0.26,0.19
2004-0060,Lebanon,3,41,1,1,2,3,2,2,3,1,1,1,2,2,1,4,3,1,3,4,4,3,4,4,4,3,4,3,2,2,3,2,2,2,2,2,1,2,3,2,3,1,1,2,2,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,1,2,3,3,7,2,2,1,5,6,2,3,2,2,2,1,0.73,0.26,0.19
2004-0061,Lebanon,6,41,1,1,2,3,2,2,3,1,1,1,2,4,2,4,3,7,4,1,4,1,4,4,1,4,4,6,99,99,99,2,2,1,3,3,2,2,5,2,3,3,1,2,1,5,5,5,5,5,5,5,5,5,2,1,3,3,2,3,1,2,12,3,18,99,10,2,1,1,2,2,3,1,1,1,2,0.73,0.26,0.19
2004-0062,Lebanon,5,40,1,1,2,3,1,2,2,2,1,1,2,2,9,2,3,9,4,1,4,4,4,4,4,4,1,7,99,2,1,1,3,3,2,2,1,3,2,2,2,1,2,3,99,3,5,5,5,5,5,5,5,5,2,1,2,2,2,3,3,1,2,3,3,15,4,1,4,1,2,2,2,2,2,2,2,0.73,0.26,0.19
2004-0063,Lebanon,3,40,1,1,1,3,1,2,3,1,1,1,2,4,8,4,2,8,4,4,4,2,4,4,4,2,4,2,1,2,1,2,2,2,2,2,1,2,4,2,2,1,1,2,2,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,1,1,3,7,1,2,1,1,5,2,3,2,2,2,2,0.73,0.26,0.19
2004-0064,Lebanon,5,39,1,1,2,2,2,2,4,2,1,1,2,2,4,2,3,8,2,1,5,1,5,5,1,1,1,1,4,2,1,1,2,1,3,3,2,2,5,3,3,1,1,2,1,5,5,5,5,5,4,5,5,2,2,1,3,3,2,1,2,2,2,6,3,13,4,2,1,1,2,1,2,1,1,1,2,0.73,0.26,0.19
2004-0065,Lebanon,5,39,2,1,2,2,2,2,3,1,1,1,2,4,2,4,3,2,4,1,4,1,4,4,4,4,4,1,3,2,1,1,3,2,2,3,1,2,2,2,3,3,1,3,99,5,5,5,1,1,1,5,5,1,2,4,2,1,2,3,1,2,2,3,3,15,2,2,1,1,2,1,3,4,4,4,2,0.73,0.26,0.19
2004-0066,Lebanon,1,39,1,2,99,3,2,2,3,1,1,1,1,8,2,22,2,8,2,2,3,3,4,4,2,1,3,6,99,99,99,2,2,1,1,3,2,2,3,1,2,1,5,2,2,4,4,5,5,3,4,4,5,3,2,1,2,3,2,4,2,1,2,3,3,15,4,1,1,2,1,3,4,2,2,3,2,0.73,0.26,0.19
2004-0067,Lebanon,1,39,1,1,1,4,1,2,4,1,1,1,2,4,8,2,4,4,3,2,3,2,3,3,2,3,3,1,4,5,99,2,1,1,3,2,2,1,3,2,3,3,4,2,4,4,2,5,4,6,5,4,4,5,2,2,3,2,2,4,2,2,3,3,18,99,10,1,1,1,2,3,4,2,2,3,1,0.73,0.26,0.19
2004-0068,Lebanon,5,38,1,1,1,101,2,2,3,1,1,1,2,4,2,4,3,8,4,1,4,1,4,4,4,1,4,4,3,2,1,1,3,3,3,3,1,1,4,2,2,2,1,2,1,5,5,5,5,5,5,5,5,1,2,1,2,2,2,2,1,2,6,3,3,7,4,2,1,1,2,2,3,1,2,1,2,0.73,0.26,0.19
2004-0069,Lebanon,5,38,1,1,1,3,2,2,3,1,1,1,2,2,4,4,3,2,5,1,4,1,4,4,4,4,4,6,99,99,99,1,3,1,3,3,1,3,5,2,3,3,1,3,99,5,5,5,1,1,1,5,5,5,2,1,2,3,2,3,1,2,2,3,18,99,10,2,1,1,2,1,3,2,2,2,2,0.73,0.26,0.19
2004-0070,Lebanon,6,38,1,1,1,2,1,2,3,1,1,1,2,2,4,4,3,2,4,1,4,1,4,4,4,2,2,4,1,1,2,1,2,2,2,2,1,3,1,2,1,2,4,3,99,5,5,5,1,1,1,5,5,1,2,1,3,3,2,1,1,2,2,3,3,11,4,2,1,1,2,1,2,4,4,4,2,0.73,0.26,0.19
2004-0071,Lebanon,5,37,1,1,2,3,1,2,3,2,1,1,2,2,4,4,3,2,4,1,4,1,4,4,4,4,4,7,99,2,3,1,3,3,3,3,2,3,2,2,3,1,2,1,2,5,5,5,5,5,3,3,3,3,2,1,2,2,2,7,2,4,2,5,3,15,10,2,1,5,1,2,2,2,2,2,2,0.73,0.26,0.19
2004-0072,Lebanon,6,37,2,1,2,2,2,2,3,1,1,1,2,4,8,2,2,8,2,1,3,1,3,3,2,1,3,6,99,99,99,2,2,1,3,3,3,4,6,2,3,1,1,3,99,5,5,5,5,5,4,5,5,2,2,1,2,3,2,1,1,2,7,3,3,15,4,2,1,1,2,1,2,1,1,1,2,0.73,0.26,0.19
2004-0073,Lebanon,5,36,1,1,2,3,1,2,3,2,1,1,2,2,4,2,2,4,5,1,4,4,1,4,4,3,3,4,3,2,1,1,3,3,3,3,1,1,4,3,3,3,2,3,99,5,5,5,1,1,1,5,5,1,2,1,2,3,2,3,1,2,2,3,3,11,2,2,1,1,2,1,3,4,4,1,3,0.73,0.26,0.19
2004-0074,Lebanon,5,36,2,1,2,2,2,2,3,1,1,1,2,2,4,2,3,4,4,1,4,1,3,4,5,3,3,3,4,2,1,1,3,1,3,3,1,3,4,2,3,3,1,3,99,5,5,5,1,1,1,5,5,3,2,1,2,3,2,3,2,2,12,3,18,99,10,2,1,1,5,1,3,3,3,3,2,0.73,0.26,0.19
2004-0075,Lebanon,3,36,1,1,1,4,1,2,3,2,1,1,2,4,9,4,2,9,4,4,4,3,4,4,4,4,3,6,99,99,99,2,3,3,3,3,1,2,3,2,3,2,1,2,3,5,5,5,5,5,5,5,5,5,2,1,2,2,2,2,1,3,3,3,11,15,2,3,1,1,5,1,2,2,2,2,2,0.73,0.26,0.19
