"dataset","country_id","country","initial_observations.x","final_observations.x","original_variables","substantive_variables","final_variables.x","dup_observations_at_85.x","dup_observations_at_90.x","dup_observations_at_95.x","dup_observations_at_100.x","varlist","initial_observations.y","final_observations.y","orig_dat_vars","substantive_dat_vars","final_variables.y","dup_observations_at_85.y","dup_observations_at_90.y","dup_observations_at_95.y","dup_observations_at_100.y","comp_at_85","comp_at_90","comp_at_95","comp_at_100"
"afrobarometer_wave1",11,"zambia",1198,1192,144,119,111,32,13,4,0,"identity supdem supold supnow rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp deme",1198,1198,144,119,115,29,11,0,0,FALSE,FALSE,FALSE,TRUE
"afrobarometer_wave1",12,"zimbabwe",1200,1200,144,119,112,57,38,8,4,"identity supdem rejone rejtrd rejmil rejdic rejexp dmpext dmpsat dmpvot dmpsay defnew defjug defele spamar spafee sparet spaprv sapknw sapmin sapsat hltmen aidexp demoe1 demoe2 demoe3 demmaj demspc demele demmpd demnec dememp demedu demgap mars",1200,1200,144,119,113,59,38,8,4,FALSE,TRUE,TRUE,TRUE
"afrobarometer_wave2",1,"botswana",1200,1200,330,230,226,4,4,2,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1200,1200,330,229,226,4,4,2,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",2,"ghana",1200,1200,330,230,228,26,20,14,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1200,1200,330,229,228,26,20,14,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",3,"lesotho",1200,1200,330,230,229,6,6,2,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1200,1200,330,229,229,6,6,2,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",4,"malawi",1200,1200,330,230,226,6,6,4,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1200,1200,330,229,226,6,6,4,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",5,"mali",1283,1283,330,230,228,5,2,0,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1283,1283,330,229,228,5,2,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",6,"namibia",1199,1199,330,230,229,2,2,0,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1199,1199,330,229,229,2,2,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",7,"nigeria",2428,2428,330,230,229,99,50,18,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",2428,2428,330,229,229,99,50,18,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",8,"south africa",2400,2400,330,230,227,29,17,7,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",2400,2400,330,229,227,29,17,7,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",9,"tanzania",1223,1223,330,230,228,54,26,12,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1223,1223,330,229,228,54,26,12,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",10,"uganda",2400,2400,330,230,229,8,8,6,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",2400,2400,330,229,229,8,8,6,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave2",11,"zambia",1198,1198,330,230,229,0,0,0,0,"q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19",1198,1198,330,229,229,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",1,"benin",1198,1198,302,221,217,9,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1198,1198,302,220,220,9,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",2,"botswana",1200,1200,302,221,220,6,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1200,1200,302,220,220,0,0,0,0,FALSE,TRUE,TRUE,TRUE
"afrobarometer_wave3",3,"cape verde",1256,1256,302,221,217,21,8,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32g q33 q34",1256,1256,302,220,217,16,2,0,0,FALSE,FALSE,TRUE,TRUE
"afrobarometer_wave3",4,"ghana",1197,1197,302,221,220,0,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1197,1197,302,220,220,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",5,"kenya",1278,1278,302,221,219,0,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1278,1278,302,220,219,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",6,"lesotho",1161,1161,302,221,220,0,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1161,1161,302,220,220,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",7,"madagascar",1350,1350,302,221,210,5,2,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1350,1350,302,220,219,5,2,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",8,"malawi",1200,1200,302,221,219,0,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1200,1200,302,220,219,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",9,"mali",1244,1244,302,221,220,0,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1244,1244,302,220,220,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",10,"mozambique",1198,1198,302,221,216,10,4,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1198,1198,302,220,220,8,2,0,0,FALSE,FALSE,TRUE,TRUE
"afrobarometer_wave3",11,"namibia",1200,1200,302,221,216,0,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1200,1200,302,220,220,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",12,"nigeria",2363,2363,302,221,220,26,8,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",2363,2363,302,220,220,22,6,0,0,FALSE,FALSE,TRUE,TRUE
"afrobarometer_wave3",13,"senegal",1200,1200,302,221,217,0,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1200,1200,302,220,220,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",14,"south africa",2400,2400,302,221,211,92,64,28,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",2400,2400,302,220,219,79,54,16,0,FALSE,FALSE,FALSE,TRUE
"afrobarometer_wave3",15,"tanzania",1304,1304,302,221,218,2,0,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1304,1304,302,220,220,2,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave3",16,"uganda",2400,2400,302,221,220,16,8,2,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",2400,2400,302,220,220,14,6,2,0,FALSE,FALSE,TRUE,TRUE
"afrobarometer_wave3",17,"zambia",1200,1200,302,221,211,94,52,23,2,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33",1200,1200,302,220,220,93,43,10,0,FALSE,FALSE,FALSE,FALSE
"afrobarometer_wave3",18,"zimbabwe",1048,1048,302,221,176,13,4,0,0,"q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q34 q35a q35pt1 q35b q35pt2 q35c q35pt3 q36a q36b q36c q37 q38 q39 q40 q41 q42",1048,1048,302,220,176,13,2,0,0,TRUE,FALSE,TRUE,TRUE
"afrobarometer_wave4",1,"benin",1200,1200,294,195,193,2,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,195,4,0,0,0,FALSE,TRUE,TRUE,TRUE
"afrobarometer_wave4",2,"botswana",1200,1200,294,195,191,0,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,195,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",3,"burkina faso",1200,1200,294,195,191,0,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,195,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",4,"cape verde",1264,1264,294,195,182,2,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q32 Q33",1264,1264,294,195,186,2,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",5,"ghana",1200,1199,294,195,192,2,2,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,194,2,2,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",6,"kenya",1104,1104,294,195,193,4,4,2,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1104,1104,294,195,195,4,4,2,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",7,"lesotho",1200,1200,294,195,191,0,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,194,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",8,"liberia",1200,1200,294,195,191,0,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,195,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",9,"madagascar",1350,1350,294,195,191,26,6,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1350,1350,294,195,195,28,6,0,0,FALSE,TRUE,TRUE,TRUE
"afrobarometer_wave4",10,"malawi",1200,1200,294,195,191,0,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,195,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",11,"mali",1232,1232,294,195,191,4,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1232,1232,294,195,195,4,0,0,0,TRUE,TRUE,TRUE,TRUE
"afrobarometer_wave4",12,"mozambique",1200,1199,294,195,191,3,0,0,0,"Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3",1200,1200,294,195,195,4,0,0,0,FALSE,TRUE,TRUE,TRUE
