dataset,country_id,country,initial_observations,final_observations,original_variables,substantive_variables,final_variables,dup_observations_at_85,dup_observations_at_90,dup_observations_at_95,dup_observations_at_100,varlist
afrobarometer_wave2,5,Mali,1283,1283,330,230,228,5,2,0,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,6,Namibia,1199,1199,330,230,229,2,2,0,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,7,Nigeria,2428,2428,330,230,229,99,50,18,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,8,South Africa,2400,2400,330,230,227,29,17,7,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,9,Tanzania,1223,1223,330,230,228,54,26,12,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,10,Uganda,2400,2400,330,230,229,8,8,6,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave2,11,Zambia,1198,1198,330,230,229,0,0,0,0,q1a q1b q2a q2b q3a q3b q4a q4b q5a q5b q5c q6a q6b q6c q7a q7b q7c q7d q7e q7f q7g q7h q7i q8a q8b q8c q8d1 q8d2 q8e q8f q9a q9b q9c q9d q9e q9f q10a q10b q10c q10d q10e q10f q11a q11b q11c q12 q13a q13b q13c q13d q13e q14 q15 q16 q17 q18 q19
afrobarometer_wave3,1,Benin,1198,1198,302,221,217,9,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,2,Botswana,1200,1200,302,221,220,6,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,3,Cape Verde,1256,1256,302,221,217,21,8,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32g q33 q34
afrobarometer_wave3,4,Ghana,1197,1197,302,221,220,0,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,5,Kenya,1278,1278,302,221,219,0,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,6,Lesotho,1161,1161,302,221,220,0,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,7,Madagascar,1350,1350,302,221,210,5,2,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,8,Malawi,1200,1200,302,221,219,0,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,9,Mali,1244,1244,302,221,220,0,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,10,Mozambique,1198,1198,302,221,216,10,4,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,11,Namibia,1200,1200,302,221,216,0,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,12,Nigeria,2363,2363,302,221,220,26,8,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,13,Senegal,1200,1200,302,221,217,0,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,14,South Africa,2400,2400,302,221,211,92,64,28,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,15,Tanzania,1304,1304,302,221,218,2,0,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,16,Uganda,2400,2400,302,221,220,16,8,2,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,17,Zambia,1200,1200,302,221,211,94,52,23,2,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q9a q9b q9c q10 q11 q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q19 q20 q21 q22 q23 q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q32a q32b q32c q32d q32e q32f q32g q33
afrobarometer_wave3,18,Zimbabwe,1048,1048,302,221,176,13,4,0,0,q4a q4b q5 q6a q6b q7a q7b q8a q8b q8c q8d q8e q8f q12 q13 q14a q14b q14c q15a q15b q15c q16 q17 q18a q18b q24 q25 q26 q27 q28a q28b q28c q28d q29 q30 q31a q31b q31c q34 q35a q35pt1 q35b q35pt2 q35c q35pt3 q36a q36b q36c q37 q38 q39 q40 q41 q42
afrobarometer_wave4,1,Benin,1200,1200,294,195,193,2,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,2,Botswana,1200,1200,294,195,191,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,3,Burkina Faso,1200,1200,294,195,191,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,4,Cape Verde,1264,1264,294,195,182,2,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q32 Q33
afrobarometer_wave4,5,Ghana,1200,1199,294,195,192,2,2,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,6,Kenya,1104,1104,294,195,193,4,4,2,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,7,Lesotho,1200,1200,294,195,191,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,8,Liberia,1200,1200,294,195,191,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,9,Madagascar,1350,1350,294,195,191,26,6,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,10,Malawi,1200,1200,294,195,191,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,11,Mali,1232,1232,294,195,191,4,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,12,Mozambique,1200,1199,294,195,191,3,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,13,Namibia,1200,1200,294,195,193,24,14,6,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,14,Nigeria,2324,2324,294,195,193,219,136,59,4,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,15,Senegal,1200,1199,294,195,191,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,16,South Africa,2400,2400,294,195,191,96,60,13,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,17,Tanzania,1208,1208,294,195,193,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,18,Uganda,2431,2431,294,195,193,49,20,8,2,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,19,Zambia,1200,1200,294,195,191,0,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
afrobarometer_wave4,20,Zimbabwe,1200,1200,294,195,191,2,0,0,0,Q4A Q4B Q5 Q6A Q6B Q7A Q7B Q8A Q8B Q8C Q8D Q8E Q9A Q9B Q9C Q10 Q11 Q12A Q12B Q12C Q13 Q14 Q15A Q15B Q15C Q16 Q17 Q18 Q19 Q20 Q21 Q22A Q22B Q23A Q23B Q23C Q23D Q24A Q24B Q25A Q25B Q25C Q26A Q26B Q27A Q27B Q27C Q28A Q28B Q29A Q29B Q29C Q30 Q31 Q3
americasbarometer_2008,1,Argentina,1486,1450,494,369,115,74,63,41,14,ls3 a4 a1 a2 a3 a4i soct1 soct2 idio1 idio2 cp2 cp4a cp4 np1 np2 sgl1 cp5_0812 cp6 cp7 cp8 cp9 cp10 cp13 ls6 it1 it1a it1b immig1 prot2 vic1ext vic27 aoj8 aoj11 aoj11a aoj12 aoj12a b2 b3 b4 b6 b10a b13 b14 b12 b18 b20 b21 b21a b31 b32 b43 b37 b
americasbarometer_2008,2,Belize,1552,1515,494,369,69,0,0,0,0,ls3 a4 a1 a2 a3 a4i soct1 soct2 idio1 idio2 cp2 cp4a cp4 np1 np2 sgl1 cp5_0812 cp6 cp7 cp8 cp9 cp10 cp13 it1 it1a it1b immig1 immig2 prot1 vic1ext vic20 vic21 vic27 aoj8 aoj11 aoj11a aoj12 aoj12a aoj16a aoj17 aoj18 b14 b18 b32 b43 m1 pop109 ros
